,docid,firstpub,date,birthdate,recept,genretags,enumcron,nationality,gender,author,title
52,dul1.ark+=13960=t53f5fj6x,1709,1709,1709,,fic,v.2,,unknown,"Manley,","Secret memoirs and manners of several persons of quality, of both sexes. From the New Atalantis, an island in the Mediteranean. Written originally in Italian"
53,mdp.39015060804963,1709,1709,1709,,bio,<blank>,,male,"Temple, William,",Memoirs
54,uva.x001926880,1709,1709,1709,,poe,v.3,,unknown,Virgil.,The works of Virgil
55,mdp.39015073317748,1709,1709,1709,,poe,,,male,"Dryden, John,",The medal
56,nyp.33433067288419,1709,1709,1709,,poe,,,male,"Denham, John,",Poems and translations;
57,mdp.39015030376357,1709,1709,1709,,poe,,,male,"Gay, John,",Wine
58,mdp.39015067087968,1710,1710,1710,,fic,,,unknown,,"A true and faithful account of the last distemper and death of Tom. Whigg, Esq., who departed this life on the 22d day of September last, Anno Domini 1710"
59,mdp.39015062244861,1710,1710,1710,,bio,<blank>,,male,"Leeds, Thomas Osborne,","Copies & extracts of some letters written to and from the Earl of Danby (now Duke of Leeds) in the years 1676, 1677, and 1678"
60,mdp.39015062288264,1710,1710,1710,,bio,<blank>,,unknown,"[Courtilz, Gatien de,$csieur de Sandras],",The memoirs of the Marq. de Langallerier
61,nnc1.1002311380,1710,1710,1710,,poe,v.3,,male,"Cowley, Abraham,",The works of Mr. Abraham Cowley
62,njp.32101036892238,1710,1710,1710,,poe,,,male,"Oldham, John,","The works of Mr. John Oldham, together with his Remains"
63,mdp.39015027522914,1710,1710,1710,,poe,,,unknown,"Colvil, Samuel.","The Whiggs supplication, or, The Scotch-Hudibras, a mock-poem"
64,mdp.39015063945078,1710,1710,1710,,poe,,,male,"Milbourne, Luke,",The moderate cabal
65,mdp.39015016748504,1710,1710,1710,,poe,,,male,"Bysshe, Edward,",The art of English poetry containing
66,njp.32101036893996,1710,1710,1710,,poe,,,male,"Ward, Edward,",The tipling philosophers
67,njp.32101065188185,1711,1711,1711,,bio,vol. 1,,unknown,Plutarch.,Plutarch's lives
68,nyp.33433061844084,1712,1712,1712,,bio,<blank>,,male,"Le Neve, John,","Memoirs British and foreign, of the lives and families of the most illustrious persons who dy'd in the year 1711"
69,njp.32101037605084,1712,1712,1712,,bio,<blank>,,male,"Ellwood, Thomas,",Davideis
70,nnc1.0037122525,1712,1712,1712,,bio,<blank>,,male,"Fowler, Edward,",Memoirs on the life and death of our late most gracious Queen Mary
71,mdp.39015065443247,1712,1712,1712,,poe,,,male,"Fénelon, François de Salignac de La Mothe-,",The adventures of Telemachus
72,mdp.39015063962024,1713,1713,1713,,poe,,,male,"Trapp, Joseph,",Peace
73,mdp.39015030597382,1713,1713,1713,,poe,,,male,"Dryden, John,",Fables antient and modern;
74,mdp.39015059902281,1713,1713,1713,,poe,,,male,"Parnell, Thomas,",An essay on the different stiles of poetry
75,nnc1.cu01930010,1713,1713,1713,,poe,,,unknown,"Ovid,",Ovid's Tristia
76,hvd.hn1w28,1713,1713,1713,,poe,,,unknown,,"Whig and Tory, or, Wit on both sides"
77,mdp.39015031001384,1713,1713,1713,,poe,,,unknown,Anacreon.,"The works of Anacreon, and Sappho"
78,mdp.39015066957310,1714,1714,1714,,fic,,,male,Petronius Arbiter.,The works of Petronius Arbiter
79,nnc1.cu55826229,1714,1714,1714,,fic,,,male,"Lucas, Theophilus,","Memoirs of the lives, intrigues, and comical adventures of the most famous gamesters and celebrated sharpers in the reigns of Charles II, James II, William III and Queen Anne"
80,nyp.33433061843714,1714,1714,1714,,bio,<blank>,,male,"Le Neve, John,","The lives and characters of the most illustrious persons, British and foreign, who died in the year 1712"
81,nyp.33433074806625,1714,1714,1714,,bio,<blank>,,male,"Lockhart, George,",Memoirs concerning the affairs of Scotland from Queen Anne's accession to the throne
82,mdp.39015048905510,1714,1714,1714,,bio,<blank>,,unknown,<blank>,Memoirs of St. George
83,mdp.39015066918924,1714,1714,1714,,bio,<blank>,,unknown,"Philo Strategos,",Churchill's annals
84,mdp.39015063962602,1714,1714,1714,,bio,<blank>,,male,"Boyer, Abel,","Memoirs of the life and negotiations of Sir W. Temple, bar"
85,mdp.39015063550506,1714,1714,1714,,poe,,,male,"Garth, Samuel,",The dispensary
86,mdp.39015059896426,1714,1714,1714,,poe,,,male,"Steele, Richard,","Poetical miscellanies, consisting of original poems and translations"
87,njp.32101036893038,1714,1714,1714,,poe,,,male,"Long, Roger,",The music speech
88,nnc1.0035529881,1714,1714,1714,,poe,v.1,,male,"Bysshe, Edward,",The art of English poetry
89,mdp.39015063546462,1714,1714,1714,,poe,,,male,"Croxall, Samuel,",Another original canto of Spencer
90,mdp.39076006198357,1714,1714,1714,,poe,,,male,"Gay, John,",The shepherd's week
91,mdp.39015055067113,1715,1715,1715,,fic,,,male,"Burnet, Thomas,",A second tale of a tub;
92,njp.32101068163342,1715,1715,1715,,fic,vol.2,,male,"Ainsworth, William Harrison,","Preston fight; or, The insurrection of 1715"
93,njp.32101068163359,1715,1715,1715,,fic,vol.1,,male,"Ainsworth, William Harrison,","Preston fight; or, The insurrection of 1715"
94,njp.32101036892782,1715,1715,1715,,fic,,,unknown,"Manley,",The adventures of Rivella;
95,njp.32101037039284,1715,1715,1715,,bio,<blank>,,unknown,<blank>,Some account of the life and writings of ... Thomas Sprat
96,nyp.33433022841005,1715,1715,1715,,bio,<blank>,,male,"Halifax, Charles Montagu,",The works and life of the Right Honourable Charles
97,uva.x030809128,1715,1715,1715,,bio,<blank>,,male,"Whiting, John,","Persecution expos'd, in some memoirs relating to the sufferings of John Whiting, and many others of the people called Quakers, for conscience sake, in the west of England, &c.;"
98,mdp.39015062965192,1715,1715,1715,,bio,<blank>,,male,"Hacket, John,",Bishop Hacket's Memoirs of the life of Archbishop Williams ... abridg'd
99,mdp.39015064376109,1715,1715,1715,,bio,<blank>,,male,"Pittis, William,","Some memoirs of the life of John Radcliffe, M.D., interspersed with several original letters"
100,mdp.39015035971699,1715,1715,1715,,bio,<blank>,,male,"Maynwaring, Arthur,","The life and posthumous works of Arthur Maynwaring, esq;"
101,mdp.39015063525383,1715,1715,1715,,poe,,,unknown,,A certain dutiful son's lamentation for the death of a certain Right Reverend
102,uva.x000099745,1715,1715,1715,,poe,v.1,,male,"Spenser, Edmund,",The works of Mr. Edmund Spenser
103,mdp.39015031062428,1715,1715,1715,,poe,,,male,"Blackmore, Richard,",Creation
104,uva.x000099749,1715,1715,1715,,poe,v.5,,male,"Spenser, Edmund,",The works of Mr. Edmund Spenser
105,nyp.33433087373217,1716,1716,1716,,bio,v. 1,,male,"Reeves, William,","The apologies of Justin Martyr, Tertullian, and Minutius Felix"
106,nyp.33433087373225,1716,1716,1716,,bio,v. 2,,male,"Reeves, William,","The apologies of Justin Martyr, Tertullian, and Minutius Felix"
107,njp.32101059047876,1716,1716,1716,,poe,,,unknown,"Claudianus, Claudius.",The rape of Proserpine
108,njp.32101037603576,1717,1717,1717,,fic,,,unknown,,"Court tales, or, A history of the amours of the present nobility"
109,njp.32101037456926,1717,1717,1717,,bio,<blank>,,male,"Fox, Stephen,",Memoirs of the life of Sir Stephen Fox
110,njp.32101073242602,1717,1717,1717,,bio,<blank>,,unknown,"Fontenelle,","The lives of the French, Italian and German philosophers, late members of the Royal academy of science in Paris"
111,njp.32101036894200,1717,1717,1717,,poe,,,unknown,,"British wonders : or, a poetical description of the several prodigies and most remarkable accidents that have happen'd in Britain since the death of Queen Anne"
112,uc2.ark+=13960=t6g167w6v,1717,1717,1717,,poe,v.2,,male,"Pope, Alexander,",The works of Mr. Alexander Pope
113,mdp.39015031102679,1717,1717,1717,,poe,,,unknown,Horace.,"The odes & Satyrs of Horace, that have been done into English by the most eminent hands"
114,nnc1.cu53282701,1717,1717,1717,,poe,,,male,"Cyprian,",St. Cyprian's discourse to Donatus;
115,hvd.32044010067551,1718,1718,1718,,fic,,,unknown,"Hearne, Mary.","The lover's week: or, The six days adventures of Philander and Amaryllis"
116,mdp.39015030656998,1718,1718,1718,,bio,<blank>,,male,"Lee, Francis,",Memoirs of the life of Mr. John Kettlewell
117,mdp.39015016768684,1718,1718,1718,,poe,v.2,,male,"Daniel, Samuel,",The poetical works of Mr. Samuel Daniel
118,mdp.39015023552097,1718,1718,1718,,poe,,,male,"Rapin, René,",Of gardens
119,dul1.ark+=13960=t6pz62444,1718,1718,1718,,poe,,,unknown,"Amhurst, N.","Protestant popery, or, The convocation"
120,nyp.33433079891838,1718,1718,1718,,poe,,,unknown,"Amhurst, N.",Strephon's revenge
121,nnc1.0035529890,1718,1718,1718,,poe,,,male,"Bysshe, Edward,",The art of English poetry
122,nnc1.cu54352819,1718,1718,1718,,poe,,,unknown,,"The 29th of May: or, The restoration"
123,mdp.39015086703215,1718,1718,1718,,poe,,,unknown,,Virgil
124,mdp.39015031594776,1718,1718,1718,,poe,v.2,,male,"Gildon, Charles,",The complete art of poetry
125,nnc1.0035529873,1718,1718,1718,,poe,v.2,,male,"Bysshe, Edward,",The art of English poetry
126,dul1.ark+=13960=t9x06zn4z,1719,1719,1719,,fic,,,unknown,"Aulnoy,",The Prince of Carency;
127,mdp.39015078548396,1719,1719,1719,,fic,,,male,"Defoe, Daniel,","The life, and strange surprizing adventures of Robinson Crusoe, of York, mariner"
128,mdp.39015078558361,1719,1719,1719,,fic,,,unknown,"Evans, Ambrose.","The adventures and surprizing deliverances, of James Dubourdieu, and his wife"
129,mdp.39015064338141,1719,1719,1719,,bio,<blank>,,male,"Desmaizeaux, Pierre,",An historical and critical account of the life and writings of the ever-memorable Mr. John Hales
130,mdp.39015063612132,1719,1719,1719,,bio,<blank>,,unknown,"Misson, Henri, de Valbourg,",M. Misson's Memoirs and observations in his travels over England
131,uc1.b182767,1719,1719,1719,,bio,v.1,,male,"Jacob, Giles,","The poetical register: or, The lives and characters of all the English dramatick poets"
132,mdp.39015013792307,1719,1719,1719,,bio,<blank>,,unknown,"Huet, Pierre-Daniel,","Memoirs of the Dutch trade in all the states, empires, and kingdoms in the world"
133,mdp.39015063625019,1719,1719,1719,,bio,<blank>,,male,"Theobald,",Memoirs of Sir Walter Raleigh;
134,uc1.b182768,1719,1719,1719,,bio,v.2,,male,"Jacob, Giles,","The poetical register: or, The lives and characters of all the English dramatick poets"
135,njp.32101037715412,1719,1719,1719,,poe,,,unknown,"Amhurst, N.","The Protestant session, a poem"
136,nnc1.1002352591,1719,1719,1719,,poe,,,unknown,,Tauronomachia
137,njp.32101037569652,1719,1719,1719,,poe,,,unknown,,Poems upon divine and moral subjects
138,mdp.39076006199025,1720,1720,1720,,fic,,,male,"Defoe, Daniel,","The life, adventures, and pyracies, of the famous Captain Singleton"
139,mdp.39015022401338,1720,1720,1720,,fic,v.1-2,,unknown,"Manley,",Secret memoirs and manners of several persons of quality of both sexes
140,mdp.39015024467378,1720,1720,1720,,fic,v.3-4,,unknown,"Manley,",Secret memoirs and manners of several persons of quality of both sexes
141,mdp.39015013747905,1720,1720,1720,,fic,,,male,"Defoe, Daniel,",The history of the life and adventures of Mr. Duncan Campbell
142,uc2.ark+=13960=t7sn04h6p,1720,1720,1720,,bio,<blank>,,male,"Jacob, Giles,","An historical account of the lives and writings of our most considerable English poets, whether epick, lyrick, elegiack, epigramatists, &"
143,mdp.39015082365449,1720,1720,1720,,bio,v.5,,male,"Brown, Thomas,",The works of Mr. Thomas Brown
144,mdp.39015011940668,1720,1720,1720,,bio,v.1,,male,"Brown, Thomas,",The works of Mr. Thomas Brown
145,mdp.39015011940676,1720,1720,1720,,bio,v.2,,male,"Brown, Thomas,",The works of Mr. Thomas Brown
146,mdp.39015011940783,1720,1720,1720,,bio,v.3,,male,"Brown, Thomas,",The works of Mr. Thomas Brown
147,uc2.ark+=13960=t39020p80,1720,1720,1720,,bio,<blank>,,male,"Hoadly, Benjamin,",A sermon preach'd before the Lords spiritual and temporal
148,mdp.39015011940791,1720,1720,1720,,bio,v.4,,male,"Brown, Thomas,",The works of Mr. Thomas Brown
149,mdp.39015063946100,1720,1720,1720,,poe,,,unknown,"Pack, Richardson,",Religion and philosophy
150,njp.32101072914672,1720,1720,1720,,poe,,,male,"Bonnefons, Jean,",Carmina
151,mdp.39015063952793,1720,1720,1720,,poe,,,male,"Sewell, George,",A new collection of original poems
152,nnc1.0037988956,1720,1720,1720,,poe,,,unknown,"Lucan,",Lucan's Pharsalia
153,uc2.ark+=13960=t88g8h33b,1720,1720,1720,,poe,,,unknown,"Amhurst, N.",Poems on several occasions
154,mdp.39015028161266,1721,1721,1721,,fic,,,unknown,"La Motte,","One hundred new court fables, written for the instruction of princes, and a true knowledge of the world"
155,mdp.39015073762943,1721,1721,1721,,bio,<blank>,,male,"Bulstrode, Richard,","Memoirs and reflections upon the reign and government of King Charles the 1st. and K. Charles the IId ... wherein the character of the royal martyr, and of King Charles II. are vindicated from fanatical aspersions"
156,mdp.39015030701893,1721,1721,1721,,poe,v.1,,male,"Ken, Thomas,","The works of the Right Reverend, learned and pious, Thomas Ken"
157,njp.32101036886354,1721,1721,1721,,poe,v.3,,male,"Ramsay, Allan,",The works of Allan Ramsay;
158,hvd.hn64vk,1721,1721,1721,,poe,,,male,Virgil,The works of Virgil
159,ucm.5327128926,1721,1721,1721,,poe,Vol. 1,,male,"Cowley, Abraham,",The works of Mr. Abraham Cowley
160,njp.32101036886362,1721,1721,1721,,poe,v.2,,male,"Ramsay, Allan,",The works of Allan Ramsay;
161,mdp.39015030701885,1721,1721,1721,,poe,v.2,,male,"Ken, Thomas,","The works of the Right Reverend, learned and pious, Thomas Ken"
162,mdp.39015030701992,1721,1721,1721,,poe,v.3,,male,"Ken, Thomas,","The works of the Right Reverend, learned and pious, Thomas Ken"
163,mdp.39015030701984,1721,1721,1721,,poe,v.4,,male,"Ken, Thomas,","The works of the Right Reverend, learned and pious, Thomas Ken"
164,uc2.ark+=13960=t1pg1pz5q,1721,1721,1721,,poe,,,unknown,Horace.,The odes and satyrs of Horace
165,njp.32101036886370,1721,1721,1721,,poe,v.1,,male,"Ramsay, Allan,",The works of Allan Ramsay;
166,mdp.39015063925914,1721,1721,1721,,poe,,,male,"Ramsay, Allan,",The scriblers lash'd
167,mdp.39015030685575,1722,1722,1722,,fic,v.3,,unknown,"Aulnoy,",A collection of novels and tales of the fairies
168,uc1.31822038198719,1722,1722,1722,,fic,,,male,"Defoe, Daniel,",The life and actions of Lewis Dominique Cartouche
169,mdp.39015078548362,1722,1722,1722,,fic,,,male,"Defoe, Daniel,",The farther adventures of Robinson Crusoe;
170,mdp.39015078548313,1722,1722,1722,,fic,v.1,,male,"Defoe, Daniel,","The life, and strange surprizing adventures of Robinson Crusoe, of York, mariner"
171,mdp.39015030685567,1722,1722,1722,,fic,v.2,,unknown,"Aulnoy,",A collection of novels and tales of the fairies
172,mdp.39015064392254,1722,1722,1722,,fic,,,unknown,,The history of Madamoiselle de St.Phale
173,mdp.39015078548305,1722,1722,1722,,fic,v.2,,male,"Defoe, Daniel,","The life, and strange surprizing adventures of Robinson Crusoe, of York, mariner"
174,hvd.hxj9s3,1722,1722,1722,,bio,v.6,,unknown,<blank>,Memoirs of literature
175,hvd.hxj9s2,1722,1722,1722,,bio,v.4,,unknown,<blank>,Memoirs of literature
176,hvd.hxj9rx,1722,1722,1722,,bio,v.2,,unknown,<blank>,Memoirs of literature
177,hvd.hxj9rz,1722,1722,1722,,bio,v.3,,unknown,<blank>,Memoirs of literature
178,hvd.hxihbb,1722,1722,1722,,bio,v.7,,unknown,<blank>,Memoirs of literature
179,hvd.hxj9s1,1722,1722,1722,,bio,v.5,,unknown,<blank>,Memoirs of literature
180,hvd.hxj9s4,1722,1722,1722,,bio,v.1,,unknown,<blank>,Memoirs of literature
181,njp.32101037020490,1722,1722,1722,,poe,"v.1,c.2",,male,"Oldham, John,","The works of Mr. John Oldham, together with his remains"
182,dul1.ark+=13960=t93786n14,1722,1722,1722,,poe,,,unknown,"Amhurst, N.",The British general
183,nyp.33433067377402,1722,1722,1722,,poe,,,unknown,"Oppian,",Oppian's Halieuticks of the nature of fishes and fishing of the ancients
184,njp.32101073248617,1722,1722,1722,,poe,,,male,"Hobbes, Thomas,",A true ecclesiastical history from Moses to the time of Martin Luther
185,nnc1.0023707160,1722,1722,1722,,poe,,,male,"Greenwood, James,",The virgin muse
186,njp.32101037020482,1722,1722,1722,,poe,"v.2,c.2",,male,"Oldham, John,","The works of Mr. John Oldham, together with his remains"
187,mdp.39015078548511,1723,1723,1723,,fic,,,unknown,,Memoirs of the life of Scriblerus
188,mdp.39015058457717,1723,1723,1723,,bio,<blank>,,male,"Spelman, Henry,",The English works of Sir Henry Spelman
189,njp.32101073818633,1723,1723,1723,,bio,<blank>,,male,"Retz, Jean François Paul de Gondi de,",Memoirs of the Cardinal de Retz
190,mdp.39015039654705,1723,1723,1723,,bio,<blank>,,male,"Atterbury, Francis,","The speech of Francis, late lord bishop of Rochester, at the bar of the House of lords, on Saturday the 11th of May, 1723"
191,mdp.39015063801032,1723,1723,1723,,bio,<blank>,,male,"Blackmore, Richard,","A true and impartial history of the conspiracy against the person and government of king William III of glorious memory, in the year 1695"
192,nnc1.0037122266,1723,1723,1723,,bio,<blank>,,unknown,<blank>,"Memoirs of Humphrey, duke of Gloucester; (As they relate to the story of Mr. Phillips's tragedy of that name; and proper to be bound up with it)"
193,mdp.39015021720464,1723,1723,1723,,bio,<blank>,,unknown,"Jesup, Edward.","The lives of Picus and Pascal, faithfully collected from the most authentic accounts of them"
194,mdp.39015073721808,1723,1723,1723,,bio,<blank>,,male,"Skinner, Thomas,",The life of General Monk
195,mdp.39015062948081,1723,1723,1723,,poe,,,unknown,Virgil.,The fourth book of Virgil's Aeneid
196,njp.32101080242223,1724,1724,1724,,bio,<blank>,,male,"Hodges, Benjamin,","An impartial history of Michael Servetus, burnt alive at Geneva for heresie"
197,mdp.39015063615614,1724,1724,1724,,bio,<blank>,,male,"Skinner, Thomas,",The life of General Monk: duke of Albemarle
198,nnc1.cu53345592,1725,1725,1725,,fic,,,male,"Segrais, Jean Regnauld de,",The power of jealousy exemplified in two novels
199,mdp.39015004077205,1725,1725,1725,,bio,v.1,,male,"Boyle, Robert,",The philosophical works of the Honourable Robert Boyle esq
200,mdp.39015064339305,1725,1725,1725,,bio,<blank>,,male,"Harris, William,","Some memoirs of the life and character of the Reverend and learned Thomas Manton, D. D"
201,mdp.39015004077221,1725,1725,1725,,bio,v.3,,male,"Boyle, Robert,",The philosophical works of the Honourable Robert Boyle esq
202,mdp.39015004752112,1725,1725,1725,,bio,v.2,,male,"Boyle, Robert,",The philosophical works of the Honourable Robert Boyle esq
203,uc2.ark+=13960=t41r6rb90,1725,1725,1725,,bio,<blank>,,male,"Symmes, Thomas,",Historical memoirs of the late fight at Piggwacket
204,njp.32101067676567,1725,1725,1725,,bio,<blank>,,male,"Whitehead, George,","The Christian progress of that ancient servant and minister of Jesus Christ, George Whitehead"
205,uiuo.ark+=13960=t7jq1394h,1725,1725,1725,,poe,,,male,"Milton, John,",Paradise regain'd
206,njp.32101067865939,1725,1725,1725,,poe,,,male,"Vida, Marco Girolamo,",Vida's Art of poetry
207,mdp.39015063540382,1725,1725,1725,,poe,,,male,"Baker, Henry,",Original poems
208,njp.32101037620133,1725,1725,1725,,poe,,,male,"Suffolk, Edward Howard,",Miscellanies in prose and verse
209,njp.32101037603766,1725,1725,1725,,poe,,,male,"Cotton, Charles,","The genuine poetical works of Charles Cotton, Esq;"
210,mdp.39015062655603,1726,1726,1726,,fic,v.2,,male,"Swift, Jonathan,",Travels into several remote nations of the world
211,mdp.39015078564393,1726,1726,1726,,fic,c.2 v.2,,male,"Swift, Jonathan,",Travels into several remote nations of the world
212,mdp.39015078567255,1726,1726,1726,,fic,v.1-2,,male,"Swift, Jonathan,",Travels into several remote nations of the world
213,mdp.39015078564385,1726,1726,1726,,fic,c.2 v.1,,male,"Swift, Jonathan,",Travels into several remote nations of the world
214,mdp.39015078564526,1726,1726,1726,,fic,v.1,,male,"Swift, Jonathan,",Travels into several remote nations of the world
215,mdp.39015078565408,1726,1726,1726,,fic,c.1 v.1,,male,"Swift, Jonathan,",Travels into several remote nations of the world
216,uc2.ark+=13960=t6xw4qf2s,1726,1726,1726,,bio,<blank>,,male,"Parkinson, Anthony,",Collectanea Anglo-minoritica
217,nnc1.0114150085,1726,1726,1726,,bio,v.1-2,,male,"Ker, John,","The memoirs of John Ker, of Kersland in North Britain, esq;"
218,uc2.ark+=13960=t6154gt6f,1726,1726,1726,,bio,v.2,,male,"Ker, John,","The memoirs of John Ker, of Kersland in North Britain, Esq"
219,mdp.39015059380090,1726,1726,1726,,poe,,,unknown,,Miscellaneous poems
220,njp.32101037606041,1726,1726,1726,,poe,,,male,"Glanvill, John,",Poems: consisting of originals and translations
221,uc2.ark+=13960=t29883s9t,1726,1726,1726,,poe,,,male,"Newcomb, Thomas,","Sacred hymns; or, An attempt to discover and revive the original spirit, elevation, and beauty, of some of the select Psalms"
222,mdp.39015063946118,1726,1726,1726,,poe,,,unknown,"Pack, Richardson,",Miscellaneous works in verse & prose
223,mdp.39015078568592,1727,1727,1727,,fic,,,unknown,,Travels into several remote nations of the world
224,mdp.39015078548610,1727,1727,1727,,fic,,,male,"Brunt, Samuel,",A voyage to Cacklogallinia
225,mdp.39015065780689,1727,1727,1727,,fic,v.2,,unknown,"Scarron,",The whole comical works of Mons. Scarron
